Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
Active UNIX domain sockets (w/o servers)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  3      [ ]         STREAM     CONNECTED     38279    
unix  3      [ ]         STREAM     CONNECTED     38284    
unix  3      [ ]         STREAM     CONNECTED     38286    
unix  3      [ ]         STREAM     CONNECTED     38280    
unix  3      [ ]         STREAM     CONNECTED     38285    
unix  3      [ ]         STREAM     CONNECTED     38282    
unix  3      [ ]         STREAM     CONNECTED     38283    
unix  3      [ ]         STREAM     CONNECTED     38281    
