Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
Active UNIX domain sockets (w/o servers)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  3      [ ]         STREAM     CONNECTED     43059    
unix  3      [ ]         STREAM     CONNECTED     43060    
unix  3      [ ]         STREAM     CONNECTED     43055    
unix  3      [ ]         STREAM     CONNECTED     43057    
unix  3      [ ]         STREAM     CONNECTED     43053    
unix  3      [ ]         STREAM     CONNECTED     43058    
unix  3      [ ]         STREAM     CONNECTED     43054    
unix  3      [ ]         STREAM     CONNECTED     43056    
